"행정구역별(읍면동)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
"행정구역별(읍면동)",주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택
"전국",16367006,3973961,2714279,865154,394528,9806062,485349,1898090,203544,16692230,3967776,2698092,853855,415829,10029644,492469,2000783,201558,17122573,3963072,2683979,839644,439449,10375363,502514,2072905,208719,17633327,3948984,2675516,829973,443495,10826044,508664,2139885,209750,18126954,3917683,2651613,820408,445662,11287048,514337,2194943,212943,18525844,3897729,2642821,808157,446751,11661851,521606,2230787,213871,18811627,3870987,2628637,793956,448394,11948544,526229,2253158,212709,19155585,3860997,2627158,783463,450376,12268973,530985,2283238,211392,19546299,3861380,2629249,780568,451563,12631608,538667,2303093,211551,19872674,3841487,2621805,771877,447805,12973943,542861,2302915,211468
"읍부",1614808,544351,467388,38561,38402,864404,66387,112764,26902,1673803,551606,469296,40028,42282,903764,68597,123194,26642,1749920,560283,473422,40975,45886,959130,71398,131130,27979,1862018,572652,482266,42704,47682,1040205,74587,145491,29083,1935259,574704,481814,44378,48512,1098180,78176,154284,29915,1992568,579820,485088,45182,49550,1142894,79981,159041,30832,2039859,582472,486650,45328,50494,1181768,81831,162367,31421,2050655,583479,487680,44749,51050,1210871,81057,143781,31467,2104639,585543,489195,44898,51450,1258865,82399,146187,31645,2176913,586641,490362,44896,51383,1327806,83683,147011,31772
"면부",1982064,1524970,1448705,32889,43376,334810,31485,61366,29433,2012868,1525378,1443556,34471,47351,359250,32994,65807,29439,2064742,1538966,1445203,35197,58566,389938,34592,70152,31094,2066655,1536624,1443002,35853,57769,396594,34705,68087,30645,2085214,1536714,1441246,37379,58089,412546,35780,69051,31123,2105345,1539804,1444361,37042,58401,427449,36565,69672,31855,2109096,1539067,1443036,37401,58630,430042,37039,70840,32108,2113084,1543756,1447798,37725,58233,426992,37634,72426,32276,2144674,1549545,1453149,37972,58424,451023,38155,73445,32506,2163044,1549610,1453444,38174,57992,467415,38756,74566,32697
"동부",12770134,1904640,798186,793704,312750,8606848,387477,1723960,147209,13005559,1890792,785240,779356,326196,8766630,390878,1811782,145477,13307911,1863823,765354,763472,334997,9026295,396524,1871623,149646,13704654,1839708,750248,751416,338044,9389245,399372,1926307,150022,14106481,1806265,728553,738651,339061,9776322,400381,1971608,151905,14427931,1778105,713372,725933,338800,10091508,405060,2002074,151184,14662672,1749448,698951,711227,339270,10336734,407359,2019951,149180,14991846,1733762,691680,700989,341093,10631110,412294,2067031,147649,15296986,1726292,686905,697698,341689,10921720,418113,2083461,147400,15532717,1705236,677999,688807,338430,11178722,420422,2081338,146999
"서울특별시",2793244,355039,88163,217616,49260,1636896,117235,654372,29702,2830857,345269,84680,209333,51256,1641383,116106,699446,28653,2866845,331863,78193,202108,51562,1665922,114352,724932,29776,2894078,322453,73510,197156,51787,1679639,112372,749971,29643,2953964,315566,68114,195448,52004,1720691,110968,777205,29534,3015371,307075,64911,190399,51765,1772670,110562,796066,28998,3068494,299473,62648,185338,51487,1818214,110239,812403,28165,3111323,293489,60861,181399,51229,1851242,110418,828773,27401,3155331,291582,59966,180233,51383,1886515,111038,838895,27301,3170332,286542,58667,177740,50135,1906060,110623,839901,27206
"부산광역시",1164352,225697,92919,102295,30483,738068,32120,154253,14214,1174034,220798,89663,99686,31449,750122,32073,157476,13565,1200422,214082,86132,95977,31973,776079,31542,164786,13933,1220782,208906,82904,94073,31929,798281,31081,168696,13818,1249757,202101,78212,92151,31738,831294,31073,171485,13804,1275859,196817,75433,90055,31329,860042,31112,174214,13674,1282831,190891,72340,87739,30812,872073,30330,176235,13302,1308294,188725,71726,86446,30553,898404,30256,177774,13135,1329355,187577,71255,85958,30364,920155,30289,178278,13056,1350452,184947,70227,84842,29878,943568,30360,178559,13018
"대구광역시",738100,155801,53507,74500,27794,509068,9381,53098,10752,761054,155568,52743,73823,29002,532090,9433,53440,10523,783895,154389,51495,73248,29646,555900,9440,53384,10782,792998,151964,49932,72377,29655,567543,9563,53216,10712,800340,147565,47782,70356,29427,579777,9438,52880,10680,809802,142457,45565,67900,28992,595392,9093,52492,10368,815588,138801,43864,66164,28773,605787,9068,51842,10090,834637,137208,43099,65440,28669,627191,8915,51403,9920,876286,146710,52246,65441,29023,658745,9112,51641,10078,903591,145719,51654,65161,28904,687156,9043,51628,10045
"인천광역시",942244,102914,56681,29051,17182,577346,21589,232346,8049,958072,102632,55787,29048,17797,588563,23268,235653,7956,969588,100868,54569,28326,17973,597929,25079,237716,7996,997959,100433,54907,27358,18168,624332,25984,238998,8212,1019365,97302,55935,23567,17800,648403,26309,238301,9050,1032774,95700,54674,23443,17583,661611,27704,238777,8982,1053451,94574,53956,23120,17498,683337,28734,237960,8846,1087837,93320,53199,22776,17345,717820,29807,238189,8701,1131300,93014,53147,22675,17192,760435,30986,238234,8631,1152762,90623,51869,21972,16782,785828,31383,236402,8526
"광주광역시",486527,88401,43322,31745,13334,376731,7396,8517,5482,494547,87351,42372,31507,13472,384750,8353,8502,5591,505471,86652,41575,31105,13972,395976,8427,8505,5911,514767,85194,40349,30844,14001,406329,8810,8561,5873,526161,82695,38361,30370,13964,419567,9383,8649,5867,538275,81315,37392,29984,13939,432295,9972,8863,5830,542703,78934,35609,29357,13968,438338,10731,8910,5790,555185,78236,35114,29061,14061,451265,11112,8836,5736,560550,77711,34657,28966,14088,456837,11426,8865,5711,567994,77228,34313,28873,14042,464544,11612,8909,5701
"대전광역시",468885,81292,35956,28740,16596,338250,10068,34151,5124,474193,81384,35295,28573,17516,343223,10156,34413,5017,479161,81107,34460,28270,18377,348033,10208,34590,5223,486764,80885,33958,28018,18909,355517,10378,34764,5220,492797,80106,33071,27797,19238,362190,10470,34727,5304,496875,79189,32288,27456,19445,367235,10473,34684,5294,501218,77193,30919,26607,19667,373590,10492,34791,5152,510178,76321,30197,26179,19945,383514,10576,34701,5066,514123,75528,29653,25786,20089,388467,10661,34415,5052,523823,74882,29184,25623,20075,399124,10658,34137,5022
"울산광역시",357674,66190,27166,28987,10037,253010,7564,24585,6325,361273,66653,27088,28904,10661,256003,7575,24838,6204,371300,67247,27375,28892,10980,264440,8030,25102,6481,379741,66764,27110,28611,11043,273230,8080,25226,6441,391596,66107,26886,28125,11096,286234,7900,24809,6546,394634,65747,26937,27695,11115,289432,7996,24781,6678,396893,65341,26836,27304,11201,291892,8319,24691,6650,400155,64875,26815,26814,11246,295539,8536,24519,6686,405885,64589,26748,26605,11236,301668,8461,24461,6706,411508,64075,26655,26266,11154,307911,8490,24338,6694
"세종특별자치시",81130,15696,13540,1289,867,62274,997,1499,664,86607,15688,13505,1256,927,67773,997,1499,650,104448,15990,13671,1297,1022,85256,1006,1506,690,118959,16099,13770,1304,1025,99512,1113,1531,704,132257,16168,13793,1345,1030,112722,1113,1547,707,136887,16178,13730,1413,1035,117312,1142,1547,708,143798,16015,13570,1401,1044,124375,1143,1553,712,150278,16091,13651,1401,1039,130572,1270,1633,712,153545,16144,13705,1394,1045,133671,1354,1664,712,158283,16192,13747,1399,1046,138356,1354,1664,717
"경기도",3693557,498250,283507,145938,68805,2502091,121960,538971,32285,3814834,502993,286473,143761,72759,2577259,120602,581008,32972,3949829,504182,285992,142047,76143,2676037,124272,611471,33867,4169100,505213,288133,139904,77176,2860249,126516,643052,34070,4354776,504227,288556,137584,78087,3021258,128890,665613,34788,4495115,505382,289158,137413,78811,3146667,130354,677652,35060,4608126,504343,290060,134949,79334,3254817,132170,682093,34703,4725372,505266,292507,132529,80230,3358597,133617,693431,34461,4859873,509114,296011,132238,80865,3477378,136932,701931,34518,4962282,504954,295623,129052,80279,3582867,138496,701579,34386
"강원특별자치도",569899,230825,188594,22277,19954,297005,20233,11037,10799,575967,232164,188234,22751,21179,300788,21012,11321,10682,586383,234791,188414,23028,23349,307839,21190,11632,10931,603644,236392,189425,23361,23606,322796,21373,12051,11032,627376,236397,188773,23872,23752,346389,20977,12336,11277,644023,237573,189909,23700,23964,360950,21471,12539,11490,654719,238277,190448,23714,24115,370287,21735,12792,11628,665631,239749,191848,23628,24273,379372,21816,13000,11694,674829,240574,192790,23522,24262,387357,22017,13151,11730,684430,241638,193815,23568,24255,395481,22094,13407,11810
"충청북도",556951,204614,166990,20157,17467,308352,15975,18382,9628,568567,206993,168160,20466,18367,316851,16004,19329,9390,581855,208789,168280,20660,19849,327319,16124,20014,9609,607686,209827,168917,20858,20052,351577,16286,20306,9690,625957,209753,168452,21161,20140,369668,16203,20539,9794,640256,210192,168491,21339,20362,383130,16234,20754,9946,650224,210381,168396,21393,20592,392988,15969,20876,10010,659293,211378,169138,21396,20844,400844,16052,20996,10023,673539,211977,169587,21388,21002,414551,15970,20950,10091,685622,211818,169479,21381,20958,426830,15881,20988,10105
"충청남도",754372,304281,272473,15518,16290,382323,20096,37071,10601,776746,303579,269832,15926,17821,402808,20962,38878,10519,805555,307083,270550,16260,20273,426251,21552,39808,10861,835752,307981,270726,16727,20528,453830,22457,40507,10977,850525,307197,269331,17186,20680,467790,23186,41242,11110,865008,307155,269104,17244,20807,481332,23565,41652,11304,874666,307062,268639,17343,21080,490513,23750,41978,11363,894935,307013,268298,17389,21326,510531,23929,42135,11327,925749,307467,268616,17378,21473,540689,24023,42183,11387,948183,306994,268255,17350,21389,563832,23722,42213,11422
"전북특별자치도",687103,282928,245944,18161,18823,364712,14980,14153,10330,692563,282433,244363,18275,19795,370071,15393,14321,10345,698264,283061,243442,18120,21499,374491,15602,14517,10593,712850,282342,242335,18352,21655,389225,15941,14723,10619,724524,281271,240871,18568,21832,401005,16556,14999,10693,741221,280952,240368,18635,21949,416861,17450,15130,10828,747880,279616,238916,18629,22071,424658,17604,15142,10860,755382,279159,238372,18606,22181,432466,17774,15122,10861,765051,277377,236696,18558,22123,443907,17901,15106,10760,773649,275848,235445,18454,21949,453955,17972,15070,10804
"전라남도",747621,404904,370325,14780,19799,306661,14187,9915,11954,755044,402185,366171,15093,20921,316137,14740,10258,11724,766231,403976,365534,14858,23584,324257,15104,10440,12454,777966,403583,364883,14976,23724,335966,15241,10641,12535,787816,401717,362499,15375,23843,346990,15651,10787,12671,802043,402046,362666,15369,24011,359690,16463,10955,12889,811478,400420,360825,15431,24164,369551,17384,11085,13038,824065,400085,360347,15415,24323,381917,17670,11303,13090,835004,399741,359943,15448,24350,392551,18154,11396,13162,846848,398735,359029,15464,24242,405169,18365,11414,13165
"경상북도",995385,457157,394348,38033,24776,449154,27799,44533,16742,1009941,456724,391474,38583,26667,461577,29091,45793,16756,1038274,459095,391163,38525,29407,485196,29782,46456,17745,1060505,458601,390286,38679,29636,507230,30016,46705,17953,1081216,456513,387888,38866,29759,529133,30223,47074,18273,1094306,456538,388167,38400,29971,541246,30673,47264,18585,1103666,455892,387329,38370,30193,551145,30721,47146,18762,1108186,455997,387275,38333,30389,555358,30833,47167,18831,1106957,446542,378110,38253,30179,564089,30785,46807,18734,1128786,445445,377219,38228,29998,586353,31174,47006,18808
"경상남도",1134738,416364,317584,63787,34993,641589,24944,35701,16140,1151057,418406,317192,63946,37268,654679,25523,36326,16123,1193912,419772,316128,63679,39965,694326,26357,36719,16738,1226708,419628,315596,63689,40343,726589,26507,37097,16887,1266739,418312,313551,64103,40658,767442,26476,37378,17131,1296944,417534,313235,63499,40800,797850,26697,37542,17321,1306263,416963,312731,62883,41349,807613,26740,37421,17526,1311971,416190,312186,62464,41540,814296,26485,37464,17536,1321044,416317,312239,62479,41599,823074,26508,37542,17603,1341627,415279,311608,62254,41417,844372,26702,37653,17621
"제주특별자치도",195224,83608,63260,12280,8068,62532,18825,25506,4753,206874,86956,65060,12924,8972,65567,21181,28282,4888,221140,90125,67006,13244,9875,70112,24447,31327,5129,233068,92719,68775,13686,10258,74199,26946,33840,5364,241788,94686,69538,14534,10614,76495,29521,35372,5714,246451,95879,70793,14213,10873,78136,30645,35875,5916,249629,96811,71551,14214,11046,79366,31100,36240,6112,252863,97895,72525,14187,11183,80045,31919,36792,6212,257878,99416,73880,14246,11290,81519,33050,37574,6319,262502,100568,75016,14250,11302,82537,34932,38047,6418
